text,label
Islamic philosophy has dealt at length with the study of inherent mental qualities and inclinations among human beings with special reference to moral virtue  Some human beings are totally inclined to the pursuit of virtue  and are consumed with desire for knowledge of the Divine World  known as m  arifat  or gnosis  Others tend to be carried away by the things and pleasures of the world  There is a middle  order of persons who have inclination to gnosis  and also have aptitude for worldly  affairs  This last category is described by Imam Razi  writing in the th century  as  the people of the right hand or the balanced people   and to such persons  control over the affairs of their fellowmen rightly belongs  The task is never easy  mere goodness is no guarantee for success  Possession of all the virtues alone is not sufficient  There must be inspiration from a higher source  The element of marifat provides the necessary directions  by holding the attention to the Divine light  No leader of any community who has gained success in managing its affairs and certainly no leader who led his people out of bondage  or saved them from the threat of hopeless submergence under a majority  hostile to them  can ever have done so by the exercise of mere human intelligence  or brain power or character,1
She has one huge platform  and information can go out to places that really need to know what s going on in her hometown  She has always availed not only her platform  her voice  but also resources  tangible resources  to help those most in need in Houston and around,1
Budget  More needs to be done for disabled  say groups,1
For example  we also extended help to the people of Yong Peng  which is under the opposition  because it is our responsibility to help those who are in need   he added,1
ASWS CEO Di Gipey said the Coroner s report into the deaths of two women after long histories of domestic violence again highlighted the pressing need to make real changes that will make women and children safe,1
Vodafone Foundation Director Andrew Dunnett said   There were  million refugees worldwide at the end of  and  per cent of them are under the age of   Tabletbased learning programmes will provide many of the children in Dadaab with an unlimited information resource that they would otherwise not have had,1
Saudi Arabia s King Salman on Tuesday ordered that women be allowed to drive cars  carrying out a major reform that rights activists have been demanding for a long time in the Islamic kingdom  Through,1
Thousands of people made homeless in an eviction drive in Kalyanpur slum on Thursday are occupying the open spaces around the shanty town that they called home  after bulldozers razed their dwellings to the ground,1
In each and every town or city where a Caxton local paper is distributed  you will find them immersed in their communities  providing assistance with projects that uplift society  A standout community newspaper initiative is DICE  Do I Care Enough   a vital component of the Zululand Observer  indelibly linked to Zululand since   Not only is it involved in the care of the vulnerable and dispossessed  but it is active in all spheres of community upliftment wherever the need may be,1
Discrimination of the disabled by society is one of the major problems undermining the progress of democratic practice in the country  It is always the dream of people with disabilities that so long as the disability bill is passed  their position in society will be influenced positively,1
Themed  March for Our Lives   the protesters included children  teenagers  pregnant women  the old and not excluding the disabled who rolled over on their wheel chairs,1
I think another main theme is the power of human resilience and bounding back from the ashes of ruin  and being willing as a really young person to speak out and to try and get justice  The bravery of these young women has just been astounding to us,1
Hospitals fill as Rohingya refugees shiver through winter,1
She said these women deserve the same kind of choice that any women anywhere in the world should have,1
VARANASI  Over six decades to Independence and the Muslim community may still be lagging behind in the field of education  But  a number of Muslim women and girls particularly hailing from poor families are coming out to dispel the darkness of ignorance and bring about a new dawn for the coming generation of the community  They are doing the community proud by making sincere efforts at spreading literacy  especially among other girls and children,1
What we have instead observed has been an everescalating education arms race  in which the poorest children have ended up hopelessly illequipped to fight  The signs are all around us  the booming billionpound industry of private tutors paid to boost pupils    grades  the sharpelbowed tiger parents stopping at nothing to get their children into the best schools  and the stressedout students trying to navigate a complex and often baffling university admissions system,1
I do nt believe in abortion  I think it is wicked  I would tell women to have their child and God will provide   said Julene,1
The ten wheelchairs were sought for children identified by the host  Salvation Army to enable them to become mobile  the convener noted  Baps Charity would go anywhere to donate provided there are found people in need of the donations without any discrimination relating to religion  colour  origins or tribe  he stated,1
As Briggs amp Stratton celebrates its th anniversary year  what better way to reaffirm our commitment to the Milwaukee community than by providing  million to kids in need of pediatric care   said Rick Carpenter  vice president corporate marketing   We are lucky to have one of the nation s top pediatric hospitals right here within our community and Briggs amp Stratton firmly stands behind its commitment to extend its support into the future,1
Yes  because there is NO HOPE where he lives  India is a thirdworld country  Do nt be fooled by call centers in big cities  Most of the country is rural and most of the population is illiterate and hopeless,1
For refugees begging for new life  Christmas sentiment is a luxury most of them could nt afford to expect under shadow of longrunning conflicts,1
For  years Ruby lived a life of abuse  drugs  homelessness and prostitution  But two months ago she joined the lucky few to escape the horrors of prostitution,1
In an unmarked brick building  a few blocks from the Mexican border  immigrant parents clutched folders of birth certificates and asylum paperwork and sat on folding chairs  waiting to use a single  shared landline phone,1
Smyth told HKFP   The biggest challenge is the no work policy  I think that refugees who come here  or asylum seekers  they re unable to work and they have kids here  their kids are stateless  That s really the cause of a lot of stress in the community,1
Through Gawad Kalinga  Meloto has proven to be a key player in the housing industry  helping provide decent homes and sustainable livelihood to the marginalized and homeless Filipinos,1
Egypt billionare offers to buy Mediterranean island for refugees,1
Pageants SA s main charity is the Dignity Dreams project  where reusable  washable sanitary towels are given to schoolgirls in need,1
The residents of Poranu Kotuwa who were deprived of healthy and independent lives in normal weather conditions  are facing a truly hopeless future,1
Helen Schafer chose to help a family in need   Rather than sending out gifts to my clients  I ve sent them a letter effectively saying   This is what we re going to do because it feels a hell of a lot more meaningful,1
Every family which qualifies for the program should be covered  Every child in poor families must be placed and kept in school  and they should enjoy health and nutrition assistance  Romualdez said,1
While many Muslims can count on their blessings  they should not forget the fate of those who are poor and in need of help,1
This year in recognition of their ongoing dedication and charitable sacrifice to help all those in need through mutual help  true comradeship and sound memory over the past  years  the MOTHs of the Better  Ole Shellhole will stand proudly to attention as Guard of Honour and sentries for the duration of this year s Wayside Cross Remembrance Ceremony,1
Despite having excellent academic qualifications  Rani is shown the door at innumerable interviews for a teaching position  After five years  she finally gets a job at St Notkers  but there s a catch  She is given the notorious F  the  hopeless  students from the nearby slums who study in the school by virtue of the Right To Education  but are neither accepted by the teachers nor by the students,1
Aklima Sultana  a teacher of the institution  told The Daily Star   I feel very proud when I think I teach underprivileged students coming from very poor families,1
But what is most striking about Mr Trump s answer is the bleak picture he pains of innercity America and black life  poverty  gun violence  poor education and hopelessness,1
After Vatican controversy  McDonald s helps feed homeless in Rome,1
Pope Francis has made defence of the poor and needy a cornerstone of his papacy  setting up shower stalls for the homeless near the Vatican  offering meals and even a VIPstyle visit to the Sistine Chapel,1
Most of the time  you will hear people advocating the inclusion of women in governance because they are vulnerable  What most people fail to recognise  however  is that disabled persons are even more vulnerable than women and need to be supported   he added,1
We want to supply these bicycles for Vietnamese students from poor families in remote areas so that they can pursue their studies   said Michael Shuman  a former US Marine,1
The Kalpana Chakma case demonstrates how subjugating a people is achieved by attacks on women and how those guilty of it are allowed to get away scotfree  This woman showed outstanding courage  a lion heart who spoke up for the violated until she  herself  was violently silenced,1
Vast swathes of South African land are owned by government and are not utilised or are underutilised  Government can easily transfer much of this land to deserving poor families and communities,1
Fashions good and bad such as in trousers tied so low backsides showing  Or dresses and skirts cut so high if a girl reaches out to pick up something from a shelf or cupboard her undies are exposed for the world to see  Lavish lifestyles for the rich and famous in which they spend millions of dollars in attire  luxury vehicles on land and sea  et cetera while fellow Americans wallow in misery  jobless  hungry and homeless,1
Dodgeballs were flying fast and hard at Morningside College today for the th Annual Attack of the Killer Dodgeball Tournament fundraiser  The double elimination tournament had  teams playing this year to raise funds for the Community Action Agency of Siouxland s Welcome Home Project   The project aims to get homeless Siouxland families off the streets and  with the aid of a familydevelopment specialist  helps them turn their lives around,1
School for the Blind  Deaf and Dumb  Isulo  Anambra State  which parades a number of beautiful structures  is one of the schools battling with lack of facilities to meet the special educational needs of the children  According to Felix Nwaochi  PresidentGeneral of Isulo Community  the school is seriously in need of water supply as many of the blind students have to fetch water from a stream to survive in the school,1
So instead of recrimination  let us join hands in common work  Let us feed the hungry  let us house the homeless  let us give work to those who have none  and let us bring medicine to those who are ill   Uhuru said,1
That foundation became an oasis for Grant s Pen residents  and as they embraced our motto   Doing What Love Requires   political tensions eased and hopeless young people were able to get skills training as the foundation partnered with HEART TrustNTA to make them employable,1
The sound of the bulldozers coming ever closer  the presence of the bodies draped in the white Eritrean shawls  suria  at prayer beside me  the juxtaposition of the silent petitions of hope and peace alongside the violence of destruction and hopelessness were too much for the words which tried and failed to describe the scene  Witnessing became the witness of tears,1
The world today is in need of this  that joy that arises from the encounter with Christ in a life of personal and community prayer  in daily listening to the Word  in the encounter with brothers and sisters  in a happy fraternal life in the community  including fragility  and in the embrace of the flesh of Christ in the poor  Prophets of a joy that is born of feeling loved and therefore forgiven   he said May,1
With the assistances of the Shoal Livelihoods Programme through different NGOs  over  poor families living in the areas of these districts have achieved the success to overcome poverty since,1
The RDA s actions  whilst creating a stir in Colombo society  are symptomatic of a much deeper national issue that mostly affects poor and vulnerable citizens  Unfortunately  the woes of the poor are rarely heard  Unaware of the laws and their rights  they do not have the means to hire lawyers and spend years in court to seek just compensation,1
HERO  gives a chance to employees to reach out and help those who are in need   shares CEMEX treasury operations team lead in Asia Daisy delos Angeles  She also believes that employee volunteerism  like what they do  is indicative of employeecompany s unified mission to demonstrate concern for society,1
The th century figure of misfortune is conjured from the smokey dark of industrial Leicester as a young boy who s drunken father pleads with him to be in the world but not of it  to tow the line and appear the same as everyone else  Our Elephant Man does nt bear the growths and deformities of his historical predecessor  but Daniel Monks is physically disabled  lending so much more gravitas to the tale  He journeys from beneath the comfort of his mother s wing  to the hostile streets  to the freak show  until even the tout rejects him because he  makes an art form out of loneliness,1
But displaced people were not left homeless by developers and government agencies  displacement and resettlement in Singapore has been handled with tremendous care  and it is never begun unless replacement homes or flats for the affected are ready,1
The American people  as we always have been  are there to partner with African countries to ensure their most vulnerable populations receive lifesaving assistance,1
The candidate promises to do good things and help those in need,1
This year TEAM HOPE shoeboxes from Ireland will go to street children  orphans  children in hospital  poor families  victims of war and other needy situations in Eastern Europe and former Soviet Union eg Romania  Kosovo  Albania and Africa eg Cameroon  Congo  Rwanda,1
About the same time  she gave an interview to the Invisible People project  which documents the lives of the homeless  she seems hopeless  resigned to her fate and dubious future,1
She said   I saw this need when I was helping with the Eagles Wings Trust mobile soup kitchen in Dundee  Toiletries and other essentials make a huge difference to people who are homeless or have no home of their own,1
Defend your dignity as human beings and children of God  Do not allow the rich and powerful  who are rich because you are poor  to divide you  They have light and water in their high fenced houses not because they are Muslims or Christians or that they are from this or that or the other tribe but simply because they are rich  You are poor  homeless  have no road  no water  and your children are sick and illiterate  not because you are Christian or Muslim or from this tribe or the other  but simply because you are poor  You and your children vote  but their children do not vote because they are abroad  Your children beg and die on the streets while their children are abroad fraternizing with those they call unbelievers  They give you a fake religion that enslaves you while they give their own children the religion of education that will liberate them and make them rule over you,1
A Cruel And Violent Political Strategy  Asylum seekers on Manus Island and Nauru have been exiled  displaced  crushed and left hopeless,1
In South Africa  education is a right and not a privilege  but an unfavourable background can unconsciously infringe on this right  It is an open secret that poverty is rife in our country  therefore  those who are privileged enough should assist those who do not have  It may sound like an overstatement  but there are many girls who come from poor families who miss school due to lack of sanitary pads,1
If these problems are not tackled there is every chance that another reporter will be back in another  years wondering how it is possible that vulnerable children are still being cursed with hunger and a horribly early death,1
In September  Major Nottle set off on foot from Melbourne to Canberra to plead for a national solution to the homeless problem,1
BC housing minister Selina Robinson said that the project represents hope for many women and families in need,1
An immigrant to a developed country lives in two worlds  In the metropolitan societies he encounters a different way of looking at things  He develops new ideas  gains a new confidence  In the new country there are opportunities  he gets accustomed to a good standard of living  Yet he is an outsider  not fully assimilated  ethnicity and culture sets him apart from the mainstream  He yearns for familiarity  his roots  The idea of retiring to the original country comes to him,1
Poverty  Fortyseven million people rely on food stamps  Thirtyeight million households have nothing saved for retirement  Some  million children are homeless  An estimated  veterans live on the streets each night  These facts are a national disgrace  America s massive  grinding poverty is eating away at our strength  What kind of a  superpower  allows a million children to fend for themselves on the street,1
Jenny Neal  regional director of the Grandmothers Advocacy Network for Saskatchewan and Manitoba  displays her orange scarf at the sculpture Prairie Wind at River Landing  Thursday  November     to promote  days of orange to raise awareness about violence against womenGreg Pender  The StarPhoenix,1
In her tweet  Reham highlighted how a  real leader  should protect the vulnerable communities,1
The Cape Argus has launched a new collaborative editorial initiative called TheDignityProject  a part daily series about the homeless people of Cape Town  Homeless person Danny Oosthuizen will be writing a daily column for the duration of the project  Read the fourth entry in Danny s Diary below,1
Mrs Gachagua attributed her kind gesture to a perennial  disturbing sight of despondent children from poor families gawping at kids from rich households as they make merry during festive seasons,1
Needless to say  whatever is the level of one s disability  they face tenacious stigma and social exclusion in addition to their persistent physical or mental challenges  If life is hard for differentlyabled adults  we can only imagine what it could be like for children  Their parents become tired  frustrated  and hopeless  Most of them lack financial and other resources to cope with the situation  It is almost inconceivable how burdened and helpless they feel  and therefore resort to a resigned acceptance of fate,1
Every abled person today can become disabled tomorrow  So we should treat our physically challenged brothers and sisters with dignity and respect   he cautioned,1
Someone has to be there to care   he says   I think my passion for healthcare policy comes from these vulnerable people who are forgotten  This whole experience has been more invigorating than I ever thought,1
Why is the voting turnout so poor in rich countries like America  whose GDP may be high but which still has a vast majority of homeless and poor people  Democracy is not the solution to everything and most countries still do not practice democracy to its full meaning  Poor countries need to show they are democratic to play the field in globalisation and modernisation and get their poor to the voting pool  who would in many cases much rather just be working on their fields as politicians never really did much for them anyway,1
Accountability is suggesting that the people so in need of our help and support could have done a little bit more to help themselves,1
Speaking at the elaborate event  the first of its kind in Badagry  Chairman of the Association  Comrade Monday Denagan Honfovu  who also doubles as the President of Badagry Community Youth Association  BCYA  said  the idea to assist the vulnerable women was borne out of the saying   if you empower a woman  you empower the nation,1
Everyone makes a mistake  no one s perfect  Execution is very bad  no one likes it  We feel very sorry for these poor  poor families,1
He said his decision to help those in need did not benefit him personally  but  rather such assistance was being given by all the Group s employees  in one way or another  all of us have been helping those in need,1
Mr Mathur  who was born in India  came to Canada in the early Seventies when he was eight years old  His hardworking immigrant parents inspired him always to be resilient  as they demonstrated by gamely facing the hardships of integrating into society  finding work and putting food on the table  He describes his upbringing as somewhat spiritual  first in downtown Toronto and then in Bramalea  northwest of Toronto  in a workingclass area filled with young families where  it seemed everyone was the same   with the kids focused on academia and sports,1
Mother of three on the brink of being homeless again  by,1
A lot of people are in need of better roads  potable water  skills training  the education and healthcare facilities that need to be developed  They all want it to happen at one time and you have to explain to them that it is a process  and will not happen overnight  We have made a lot of achievements and I do hope that we will be able to convey fully what the vision is for the constituency and that persons will buy into exactly what we have been trying to do   he said,1
Now everybody wonders how she takes care of herself  living with her disabled daughter after her husband died more than  years ago,1
But despite the dwindling hope  Yemenis refuse to give up on others in need,1
VATICAN CITY  To suffer and empathize together with others  drawing close to them to help restore their dignity  This is the attitude that the Christian should before those who suffer and are in need  said Pope Francis during Mass this morning at Casa Santa Marta  commenting on today s Gospel from Luke dedicated to the account of Christ s resurrection of Nain s son,1
Those  Rohingyas  who somehow entered the country by skipping the border regulation  we have decided to give them shelter on a humanitarian grounds  he said  while adding that there are other refugees also receiving aid in Bangladesh,1
Indian children from poor families never get a chance to use a computer  Nor do they get a chance to speak English  For the most part  their English teachers themselves struggle to speak it well because they too were badly taught,1
Over the years  I have worked very hard getting the word out about this national disgrace  Our most vulnerable citizens in longterm care facilities do not have a voice and FATE has been able to fill that void by speaking loud and clear for them and their families about abuses in longterm care facilities and  in particular  the overmedication of the patients in those places,1
The actor  who will be seen later this month in Avengers  Infinity War  found himself called upon to make the day of a young fan in need  On Wednesday  he hung out with Jacob Monday  who is a yearold from upstate New York who has terminal cancer  The teen  who has a rare form of bone cancer  has a bucket list he s working through and it included meeting his favorite movie star,1
Foreign Affairs spokesman Charles Jose said in a press briefing on Tuesday that the Philippines  as a signatory to the  United Nations Convention Relating to the Status of Refugees  is committed to extend a hand to war refugees,1
If a single human being is rendered homeless and forced to live in the street in any country  it is shame to the people of that country   he adds,1
Cecil Duddley Mends who is the CEO of Duddleys Expressions  a modern state of the art Fashion Couture in Ghana that focuses mainly on fashion shows in Africa and Europe did nt only win the Fashion Designer of the year award because of his immense progress in Ghana s Fashion  but was also honored because he gave people hope from the hopelessness by training more than  people for free that can put food on their tables,1
Yemen  Syria  Iraq and Libya are hopeless  anarchy  militia states  these are hopeless states  hopeless  How can we save these states  even the US army could not bring stability after  years in Iraq,1
A largescale  publiclyfunded energy efficiency programme is urgently needed to create jobs  cut emissions and save the lives of some of the UK s most vulnerable people,1
When Prophet Elijah the Tishbite was so frustrated and hopeless that contemplated suicide and told God to kill him  the first thing God did was to solve his immediate need by giving him food  He gave him food again until he ate and his heart was settled and thought of suicide no more,1
This raises the question about the network of religious  madrassa  education  where children from poor families are indoctrinated to carry out suicide attacks  Several suicide bombers in recent months have been teenage children forced to embrace the bomb instead of the book  Yet global outrage is  so far  absent on this issue   Roadblocks in schools,1
Thousands of homeless Iranians huddled against the cold late on Monday  a day after at least  people were killed in Iran s deadliest earthquake in more than a decade  Reuters reports  citing state television,1
By learning a skill  and then passing it on to others  Otoyo is not only changing the narrative around disabled people  his work of knitting has also helped him to overcome the trauma of a decade spent fighting under one of the world s most brutal rebel groups,1
We work as if everything depends on us  and pray as though everything depends on God  But He does more than we could ever do  We beg  we build our homes for the poor  homeless and destitute  We build our own monasteries  We build our own beds and chairs  We cook  clean  make our own clothes  cut each other s hair,1
When we talk about the freedom it is essential to remember the valiant war heroes who fought to save our country from L T T E terrorism throughout  years  They sacrificed their lives  They lost their limbs  They became disabled and their families suffered heavily  Economy was ruined  About  people including civilians lost their lives  Thousands became disabled  Are the people who lost their lives in the  years long war were losers  Are those who saved their lives are winners  I believe that we  who saved our lives from that tragedy  should remember the lessons we learnt,1
The group believes that only a Nana AddoBawumia administration can arrest the depth of hopelessness that the youth have fallen into and restore the dreams of an inclusive and prosperous nation,1
He was born HIVpositive  He s healthy  but when Sasha met him  volunteering at an orphanage  he weighed half as much as a ampxBD  yearold boy should  and his hair was falling out  The only word he knew was Russian for  Do nt do that   The nurses told Sasha not to touch him  Not because of the HIV  It was love they were concerned with  If he received any  he d want more  and none would be forthcoming  He was aging out of the ward  and now they were going to send him to another one  more hopeless still  where he would be thrown in with lost causes of all ages  And there he would remain  as long as he remained,1
These unfortunately reach limited numbers because budgets have of necessity to be restricted  Within our society  on our birthdays and in remembrance of our relatives who have passed on  we follow a tradition of giving alms as meals to people in residential homes and donate gifts to individuals  The state and society both see them as in need of  social services  synonymous with  charity   This has been the situation in Sri Lanka for many decades  People with disabilities are beneficiaries of goodwill and charity,1
Keva Davis  of the neighbouring Red Ground community  said many of Negril s less fortunate and homeless have been beneficiaries of the programme and for this she is very grateful,1
The paper demonstrates why stakeholder consultations with a variety of informed actors from businesses  civil society  labour organisations  academia  and others including those who can provide a voice for the most vulnerable  matter  It describes the various mechanisms and processes that countries such as Korea  Japan  the US and others have introduced to ensure that stakeholders  interests have helped create or balance the broader objectives of trade negotiators,1
It is worth noting that  children coming from vulnerable families in the community benefit from scholarship awards from our organization including  in preschool and  at the SOS primary school,1
When politicians discuss immigration  it is usually in highflying terms  Jeb Bush says that  immigrants create an engine of economic prosperity   Politicians always talk of importing the best and the brightest from abroad  But New York City s salons capture the tawdry reality of illegal immigration  which creates islands of lawlessness where people can be mistreated with little consequence,1
I am very excited to see the monetary results of having all of these businesses donate toward the cooperative  Since I am also a part of xOSU  I have further interest in where the money is going to be used and the difference it will make among the women in Uganda   Triplett said,1
For now the families are staying with friends and family  During the day they clean up the debris left by the fire  hoping that someone will come to their rescue  They received emergency relief packs  but they are still in need of clothes  beds  blankets and kitchen appliances,1
In the last four decades  tribal society has passed through the most torturous  bloody  destructive  divisive and increasingly brutalising phases  The sons and daughters of these dark times saw nothing except barbarities  hopelessness and helplessness  The children of jihad from the war zone had no window of opportunity or expression  As they saw a most handsome young man  an aspiring model with fascinating attire and alluring photo sessions  being coldbloodedly murdered  they simply could not take it anymore and thronged to public spaces with a white flag in their hands  Suddenly  we see a Pashtun civil rights  spring emerging from the deathfields of FATA,1
It s lunchtime  and we re sitting in the gutted remains of the house he s painting today  The floor is littered with chips of concrete  and the windows are all blown out  Images of those bombedout homes of Aleppo come to mind  But this building is being renovated  so the landowner can rent it to refugee families who can afford more than just a tent  Ibrahim s is not one of those families,1
Cold  wet and windy our teams were in the streets late into the early hours feeding homeless men and women ICHHRetweetSupport,1
The capitalism of our time does not understand the value of the union  because it has forgotten the social nature of the economy  enterprise  life  ties and patents  But perhaps our society does not understand the union because it does not see it fight enough in the  not yet  rights places  in the existential suburbs  among the discarded laborers  among the immigrants  the poor who are under the city walls  Or simply it does not understand why corruption has sometimes entered the heart of some trade unionists  Do not let this be blocked,1
Besides offering mega deals to its customers this rd March  Darazpk wishes to celebrate Pakistan Day with those who deserve it just as much but are unable to enjoy the same luxuries  The online shopping portal has taken a pledge to give back this Pakistan Day and has kicked off the  You Buy One We Donate One  campaign  With this campaign  Daraz has committed to help one Pakistani in need on every item sold on the Pakistan Day sale  Daraz wishes to join hands with its customers and other companies to work towards spreading smiles and promoting positivity,1
Dinu had developed a theme of life  It was   The circumstances of your life do nt and should nt describe or dictate the quality of your personality   Dinu did nt let these new and trying circumstances change any aspect of her character or her life  Though she herself was sick and in pain  she still took time to visit if a friend or relative was sick  Though she was in need  she was always there to help others when needed  She always had time to talk to her friends  Dinu s Bible theme verse was Col   Continue earnestly in prayer  being vigilant in it with thanksgiving,1
As a child  I have always been told to give to those who are in need  I have been raised up to believe that if I do nt give to the needy  I will find my way to hell  Due to these teachings that has been imbued in me  I have been generally been sympathetic to the needy  After all it is said in the Holy Scriptures that  there is blessing in giving than receiving   Growing up  I have however disabused my mind of this notion  I am just tired of seeing a familiar face beg on the street for far too long  I am tired of giving money to a beggar who asks me for money today and yet shamefully ask me for help again when he or she meets me on the next day,1
Coming from a home that faced financial hardship  Father Campbell is always out to implement projects which help bring smiles to the faces of people who are in need,1
Pope Francis has visited a refugee center to wash and kiss the feet of Muslim  Orthodox  Hindu and Catholic refugees,1
Mombasa county team manager Anisa Abdala called on the corporate community to sponsor various teams as a way of showing solidarity with the disabled,1
Another fond memory I cherish was the day he and I were coming from the mosque when two men approached him and importuned him to give them money  They said they had nt eaten all day  My dad was the kindest human being I ever know  He would give his last penny to people in need  So he gave the men all the money he had on him   I do nt have a lot with me now  but I am a salary earner and the month will end in a few days  You need this more than I do   he said,1
The whole experience made me think about how many other poor families are going through this   she said,1
According to BettyAnn Blaine  executive director of Hear the Children s Cry  deterioration of family life  instabilityshifting households  crippling levels of poverty  lack of adequate social support systems and heartbreaking levels of hopelessness are key factors leading to children running away from homes,1
Renowned chef feeds Rio s homeless with excess Olympic food,1
The games are also in line with Emperor Gaza International Foundation s objectives of empowering the disabled  the marginalized rural forks  women  children and the aged  underprivileged  unfortunate ones in society by inculcating in them the cando spirit  in order to integrate them into the mainstream society  for them to play an active role in the overall development of the world,1
According to details  Prime Minister Nawaz Sharif accorded formal approval of the Rs  million as compensation including Rs  million meant for  martyrs   million for  seriously injureddisabled persons  Rs  million for  partially and Rs  million will be given for four completely damaged houses by Indian shelling  AJK government spokespersonDG ISPR Raja Azhar Iqbal told Agency here on Thursday late night,1
The figures mentioned above are inclusive of men but have decided to single out women our mothers as an appreciation of their love to children  They paint a very gloomy picture and calls for every effort to protect women and children all over the world  As you are reading through the lines  right now you have a very touching story to tell about your own mother or your neighbour s mother,1
Lilia Caberio is from Sulangan  in the Philippines  In   her house was destroyed by the  mile per hour winds and metre high storm surge during Typhoon Haiyan  and for a while she lived with her family in a tent erected where her home used to be  The typhoon was frightening enough for Lilia  but homelessness must have felt even more so  Until Elizabeth came along,1
The letter ended with a call for the bishops to create a church which listens to  the hungry  the imprisoned  the migrant and the abused,1
English actor Benedict Cumberbatch makes an emotional plea for Syrian refugees  Speaking on Thursday  September   at a curtain call of a performance in London  he urged the audience to donate cash to Save the Children to support refugees,1
I suddenly had the urge to look for a Filipino family living on the streets and give them a helping hand  I m talking about people who are forced into homelessness by poverty,1
